circID	chr	start	end	geneID	strand
4__143543509__143543972__ENSG00000153147	4	143543509	143543972	ENSG00000153147	+
15__64499293__64500166__ENSG00000180357	15	64499293	64500166	ENSG00000180357	+
1__24514314__24514567__ENSG00000117602	1	24514314	24514567	ENSG00000117602	+
8__51860845__51861246__ENSG00000168300	8	51860845	51861246	ENSG00000168300	-
5__123545417__123557564__ENSG00000151292	5	123545417	123557564	ENSG00000151292	+
7__158759486__158764853__ENSG00000117868	7	158759486	158764853	ENSG00000117868	-
12__46229153__46243314__ENSG00000111371	12	46229153	46243314	ENSG00000111371	-
1__805799__810170__ENSG00000230092	1	805799	810170	ENSG00000230092	-
4__152411303__152412529__ENSG00000109670	4	152411303	152412529	ENSG00000109670	-
2__112299849__112300029__ENSG00000188177	2	112299849	112300029	ENSG00000188177	+
10__32543300__32584304__ENSG00000216937	10	32543300	32584304	ENSG00000216937	+
14__22909483__22911403__ENSG00000100461	14	22909483	22911403	ENSG00000100461	-
13__32517857__32527532__ENSG00000244754	13	32517857	32527532	ENSG00000244754	-
1__117402186__117420649__ENSG00000198162	1	117402186	117420649	ENSG00000198162	+
18__9182382__9221999__ENSG00000101745	18	9182382	9221999	ENSG00000101745	+
14__99458279__99465813__ENSG00000183576	14	99458279	99465813	ENSG00000183576	-
1__155676548__155679512__ENSG00000163374	1	155676548	155679512	ENSG00000163374	-
5__137985257__137988315__ENSG00000031003	5	137985257	137988315	ENSG00000031003	-
12__46239679__46243314__ENSG00000111371	12	46239679	46243314	ENSG00000111371	-
6__116689320__116692392__ENSG00000196911	6	116689320	116692392	ENSG00000196911	+
X__65051462__65075912__ENSG00000102053	X	65051462	65075912	ENSG00000102053	+
7__50319048__50327757__ENSG00000185811	7	50319048	50327757	ENSG00000185811	+
16__30483827__30484263__ENSG00000005844	16	30483827	30484263	ENSG00000005844	+
19__23358430__23362725__ENSG00000167232	19	23358430	23362725	ENSG00000167232	-
20__2964272__2965202__ENSG00000132670	20	2964272	2965202	ENSG00000132670	+
12__28225795__28259442__ENSG00000123106	12	28225795	28259442	ENSG00000123106	+
7__155672867__155680908__ENSG00000184863	7	155672867	155680908	ENSG00000184863	+
16__68121987__68126610__ENSG00000072736	16	68121987	68126610	ENSG00000072736	+
10__32565558__32584304__ENSG00000216937	10	32565558	32584304	ENSG00000216937	+
